,statement,label,debunking_link
0,"Television closed in Moldova for promoting ""traditional family values""",fake_news,https://www.veridica.ro/stiri-false/fake-news-televiziune-inchisa-in-moldova-pentru-ca-promova-valorile-familiei-traditionale
1,UN says Ukraine threatens global food security,war_propaganda,https://www.veridica.ro/stiri-false/propaganda-de-razboi-onu-spune-ca-ucraina-ameninta-securitatea-alimentara-globala
2,Romania has committed to receive 3 million refugees from Israel,disinformation,https://www.veridica.ro/dezinformare/dezinformare-romania-s-a-angajat-sa-primeasca-3-milioane-de-refugiati-din-israel
3,EU recommends Zelenski to give up Russia territories,war_propaganda,https://www.veridica.ro/stiri-false/propaganda-de-razboi-ue-ii-recomanda-lui-zelenski-sa-i-cedeze-rusiei-teritorii
4,Romania obliges Ukraine and Moldova to prohibit the Moldovan language,fake_news,https://www.veridica.ro/stiri-false/fake-news-romania-obliga-ucraina-si-moldova-sa-interzica-limba-moldoveneasca
5,Anticovid19 vaccines cause mental illness,fake_news,https://www.veridica.ro/stiri-false/fake-news-vaccinurile-anticovid19-cauzeaza-boli-psihice
6,Zelenski is no longer supported in the West and in Romania,war_propaganda,https://www.veridica.ro/stiri-false/propaganda-de-razboi-zelenski-nu-mai-este-sprijinit-in-occident-si-in-romania
7,Occult will trigger the water crisis to put on the world government,fake_news,https://www.veridica.ro/stiri-false/fake-news-oculta-va-declansa-criza-apei-ca-sa-puna-guvern-mondial
8,In Ukraine will be a heavy winter because of the authorities,war_propaganda,https://www.veridica.ro/stiri-false/propaganda-de-razboi-in-ucraina-va-fi-o-iarna-grea-din-cauza-autoritatilor
9,Moldova wants to enter the EU through NATO,fake_news,https://www.veridica.ro/stiri-false/fake-news-moldova-vrea-sa-intre-in-ue-prin-nato
10,The EU and Romania prepare in Transnistria a scenario as in Nagorno Karabah,fake_news,https://www.veridica.ro/stiri-false/fake-news-ue-si-romania-pregatesc-in-transnistria-un-scenariu-ca-in-nagorno-karabah
11,Ukraine's population has declined because of NATO and EU,war_propaganda,https://www.veridica.ro/stiri-false/propaganda-de-razboi-populatia-ucrainei-a-scazut-din-cauza-nato-si-ue
12,People will be manipulated through the flu vaccine,fake_news,https://www.veridica.ro/stiri-false/fake-news-oamenii-vor-fi-manipulati-prin-vaccinul-antigripal
13,The EU wants to expand to capture territory at the expense of Russia,fake_news,https://www.veridica.ro/stiri-false/fake-news-ue-vrea-sa-se-extinda-pentru-a-acapara-teritoriu-in-defavoarea-rusiei
14,Ukrainian military kills civilian in Herson,war_propaganda,https://www.veridica.ro/stiri-false/propaganda-de-razboi-militarii-ucraineni-ucid-civili-in-herson
15,"Meat, dairy and personal cars, forbidden in Romania",fake_news,https://www.veridica.ro/stiri-false/fake-news-carnea-lactatele-si-masinile-personale-interzise-in-romania
16,Prohibition of cars in Russia shows EU Nazism,war_propaganda,https://www.veridica.ro/stiri-false/propaganda-de-razboi-interzicerea-automobilelor-din-rusia-arata-nazismul-ue
17,"Moldovan infrastructure, developed for Ukraine",fake_news,https://www.veridica.ro/stiri-false/fake-news-infrastructura-moldovei-dezvoltata-pentru-ucraina
18,The war saved Russia from unemployment and poverty,war_propaganda,https://www.veridica.ro/stiri-false/propaganda-de-razboi-razboiul-a-salvat-rusia-de-somaj-si-saracie
19,Anti-Covid-19 vaccines reduce men's life with 24,fake_news,https://www.veridica.ro/stiri-false/fake-news-vaccinurile-anticovid19-reduc-viata-barbatilor-cu-24-de-ani
