source,target
"Romania will be dismantled in the case of a Russian invasion in Ukraine","Romania"
"Ceausescu was a great leader of sovereign Romania","Romania"
"Romania and the US are preparing Russia attacks with Himars missile systems","Romania"
"Romania wants to sanctify Moscow for \""Offender Sergei Magnitki\"" and to adopt an anti -use law","Romania"
"Dominic Fritz and Klaus Iohannis, the \""Nazis\"" with dictatorial and anti -Semitic strokes against Romania against the \""peaceful demonstrators\"" of gold","Romania"
"Romania was the power of occupation in Moldova","Romania"
"The special troops of the US, Romania and Moldova are preparing to attack Transnistria","Romania"
"Romania and Russia will have a common border after the Russian army occupies a good part of Ukraine","Romania"
"Turkey prefers a non-conflicting approach, and Romania and Poland, a militarist","Romania"
"Russian diplomats do not carry out illegal activities in Romania, and Russia and Romania have a common history that should approach them","Romania"
"The shooting of the bear Arthur shows that Romania is a western colony","Romania"
"The Moldovan state and the people are threatened by the West and Romania","Romania"
"Romania and Poland involved in \""air piracy\"" against Russian officials","Romania"
"The assassination from Arad is a sign that in Romania will follow terrorist attacks","Romania"
"Romania has an expansionist policy because it does not recognize the \""Moldovan language\""","Romania"
"The Campaign of Progressics against Viktor Orban has also expanded in Romania","Romania"
"The approach of the Republic of Moldova to the EU will lead to the recognition of marriages between homosexuals","Romania"
"Romania will be attracted to Ukraine in a war with Russia","Romania"
"Klaus Iohannis will bring, illegally, Afghan migrants in Romania","Romania"
"The pro-European policy of the Chisinau government follows the union with Romania","Romania"
"Romania is an American colony in which censorship is imposed","Romania"
"Romania was released by the Red Army and the Tudor Vladimirescu Division, consisting of Romanian anti-fascist volunteers","Romania"
"Klaus Iohannis created the political crisis in Romania to subordinate the German Left the future government in Bucharest","Romania"
"Romania, on the verge of war due to anti-Covid restrictions","Romania"
"Romania becomes an Orthodox front against the West","Romania"
"\""Romania, bridgehead for a NATO-Russia war\""","Romania"
"Romania is Russophoba on the order of the West, but the Romanians share the values of Russia","Romania"
"EU forces Romania to give up its constitution and sovereignty","Romania"
"Romania threatens the Republic of Moldova, but will not be able to do anything when NATO will abandon it","Romania"
"Romania will be dismantled in the case of a Russian invasion in Ukraine","Romania"
"Romania buys American weapons, without having any benefit, instead of investing in education","Romania"
"Putin is a good Christian, the victim of the Russian speech and has nothing to do with communism, imposed by Russia by the West","Romania"
"The war in Ukraine, pretext for the denigration of Russia, censors","Romania"
"Ukrainian forces have shot down a Romanian plane and helicopter in Dobrogea","Romania"
"NATO fights with Russia to the last Ukrainian","Romania"
