statement,label
"Television closed in Moldova for promoting ""traditional family values""",fake_news
UN says Ukraine threatens global food security,war_propaganda
Romania has committed to receive 3 million refugees from Israel,disinformation
EU recommends Zelenski to give up Russia territories,war_propaganda
Romania obliges Ukraine and Moldova to prohibit the Moldovan language,fake_news
Anticovid19 vaccines cause mental illness,fake_news
Zelenski is no longer supported in the West and in Romania,war_propaganda
Occult will trigger the water crisis to put on the world government,fake_news
In Ukraine will be a heavy winter because of the authorities,war_propaganda
Moldova wants to enter the EU through NATO,fake_news
The EU and Romania prepare in Transnistria a scenario as in Nagorno Karabah,fake_news
Ukraine's population has declined because of NATO and EU,war_propaganda
People will be manipulated through the flu vaccine,fake_news
The EU wants to expand to capture territory at the expense of Russia,fake_news
Ukrainian military kills civilian in Herson,war_propaganda
"Meat, dairy and personal cars, forbidden in Romania",fake_news
Prohibition of cars in Russia shows EU Nazism,war_propaganda
"Moldovan infrastructure, developed for Ukraine",fake_news
The war saved Russia from unemployment and poverty,war_propaganda
Anti-Covid-19 vaccines reduce men's life with 24,fake_news
Ukrainians don't learn something useful from NATO instruction,fake_news
"NATO specialists from Romania and the Netherlands, killed in Ukraine",war_propaganda
EU leaders rejecting a future expansion of the community block,disinformation
A group of researchers created an artificial man,fake_news
Ukraine glorifies the killers of 1.5 million Jews,war_propaganda
The world occult requires online censorship in the EU,fake_news
Ukrainians in Poland will be extradited and sent to the front,war_propaganda
Maia Sandu closes schools because the West wants cheap work,fake_news
The Chisinau government has linked its fate to Ukraine,fake_news
Judge convicted of opposing the sanitary dictatorship,fake_news
Ukraine wants to massacre the Russians from Crimea,war_propaganda
Today's emigration from Moldova is similar to Stalinist deportations,disinformation
"Deaths caused by myocarditis, related to anti-Covid19 vaccine",fake_news
NATO troops in Romania threaten peace,fake_news
"Forced by the West to give up CSI, Chisinau destroys its economy",fake_news
China's development endangers Western civilization,disinformation
Poland wants to attack Russia and occupy western Ukraine,war_propaganda
Moldova is waiting for the dictatorship with the blessing of the West,fake_news
Ukrainians are waiting for salvation from Russia,war_propaganda
